Query return: we can see 64 hospitals are tied with perfect scores

rank	score	id	state	city	name
1	1	521337	WI	SAINT CROIX FALLS	ST CROIX REGIONAL MEDICAL CTR
1	1	340148	NC	WINSTON-SALEM	NOVANT HEALTH PARK HOSPITAL
1	1	341307	NC	BURGAW	PENDER MEMORIAL HOSPITAL
1	1	331305	NY	DELHI	O'CONNOR HOSPITAL
1	1	351331	ND	CANDO	TOWNER COUNTY MEDICAL CENTER
1	1	360245	OH	ROCK CREEK	GLENBEIGH
1	1	360352	OH	YOUNGSTOWN	SURGICAL HOSPITAL AT SOUTHWOODS
1	1	361328	OH	DEFIANCE	DEFIANCE REGIONAL MEDICAL CENTER
1	1	301312	NH	WOLFEBORO	HUGGINS HOSPITAL
1	1	301301	NH	WOODSVILLE	COTTAGE HOSPITAL
1	1	281358	NE	GORDON	GORDON MEMORIAL HOSPITAL DISTRICT
1	1	281345	NE	WAYNE	PROVIDENCE MEDICAL CENTER
1	1	281339	NE	SEWARD	MEMORIAL HEALTH CARE SYSTEMS
1	1	281328	NE	CENTRAL CITY	LITZENBERG MEMORIAL COUNTY HOSPITAL
1	1	261333	MO	LOUISIANA	PIKE COUNTY MEMORIAL HOSPITAL
1	1	261329	MO	MONETT	COX MONETT HOSPITAL
1	1	240196	MN	MINNEAPOLIS	PHILLIPS EYE INSTITUTE
1	1	390307	PA	TRANSFER	EDGEWOOD SURGICAL HOSPITAL
1	1	210058	MD	BALTIMORE	UNIV OF MD REHABILITATION &  ORTHOPAEDIC INSTITUTE
1	1	201310	ME	BRIDGTON	BRIDGTON HOSPITAL
1	1	201307	ME	MILLINOCKET	MILLINOCKET REGIONAL HOSPITAL
1	1	201306	ME	RUMFORD	RUMFORD  HOSPITAL
1	1	19048F	LA	SHREVEPORT	OVERTON BROOKS VA MEDICAL CENTER - SHREVEPORT
1	1	190268	LA	LAFAYETTE	LAFAYETTE GENERAL SURGICAL HOSPITAL
1	1	190256	LA	SLIDELL	STERLING SURGICAL HOSPITAL
1	1	181331	KY	MC DOWELL	MCDOWELL ARH HOSPITAL
1	1	181321	KY	MONTICELLO	WAYNE COUNTY HOSPITAL
1	1	181316	KY	HYDEN	MARY BRECKINRIDGE ARH HOSPITAL
1	1	170199	KS	LENEXA	MINIMALLY INVASIVE SURGERY HOSPITAL
1	1	170183	KS	WICHITA	KANSAS SURGERY & RECOVERY CENTER
1	1	17008F	KS	WICHITA	WICHITA VA MEDICAL CENTER
1	1	161360	IA	ORANGE CITY	ORANGE CITY AREA HEALTH SYSTEM
1	1	161325	IA	JEFFERSON	GREENE COUNTY MEDICAL CENTER
1	1	161304	IA	CORNING	CHI HEALTH  - MERCY CORNING
1	1	161301	IA	BELMOND	IOWA SPECIALTY HOSPITAL - BELMOND
1	1	151312	IN	MONTICELLO	INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL
1	1	341316	NC	HIGHLANDS	HIGHLANDS CASHIERS HOSPITAL INC
