Ranking variability between procedures based on "effective care" scores, the top 10 procedures with highest variability are:

rank	score	measure_id	name
1	0.0662	AMI_7a	Fibrinolytic Therapy Received within 30 Minutes of Hospital Arrival
2	0.0481	STK_4	Thrombolytic Therapy
3	0.0477	OP_23	Head CT Scan Results for Acute Ischemic Stroke or Hemorrhagic Stroke Patients who Received Head CT or MRI Scan Interpretation Within 45 Minutes of ED Arrival
4	0.0319	OP_2	Fibrinolytic Therapy Received Within 30 Minutes of ED Arrival
5	0.026	VTE_5	Venous Thromboembolism Warfarin Therapy Discharge Instructions
6	0.0232	VTE_1	Venous Thromboembolism Prophylaxis
7	0.0194	STK_8	Stroke Education
8	0.0173	OP_3b	Median Time to Transfer to Another Facility for Acute Coronary Intervention- Reporting Rate
9	0.017	CAC_3	Home Management Plan of Care (HMPC) Document Given to Patient/Caregiver
10	0.014	IMM_2	Influenza Immunization
